Statements,Labels
"The White Sox faced the Los Angeles Angels on Tuesday looking to avoid a 121st loss, which would’ve surpassed the New York Mets’ 120 losses in 1962.",Record
Adolis García's 15 RBIs are the most ever in a postseason series.,Record
"India posted their second-highest T20 score of 196 without any of their top five scoring fifties, the highest being 208 against New Zealand in February 2019.",Record
"Temba Bavuma, South Africa's captain, was under scrutiny due to his recent poor form.",Non Record
Carlos Santana homered to right center (393 feet).,Non Record
General manager Brandon Gomes confirmed that Ohtani would not be pitching in the postseason.,Non Record
"The Dodgers' pitching struggles were highlighted, with Jack Flaherty allowing four runs in 5 1/3 innings.",Non Record
Bobby Witt Jr. became the first player in Royals history with consecutive 30-home run seasons.,Record
Jake Fraley commented on the significance of the win against a playoff team.,Non Record
Cade Smith became the first pitcher in Cleveland history to appear in all five games of a division series.,Record
Shohei Ohtani became the first player in MLB history to post at least 50 home runs and 50 stolen bases in a single season.,Record
"Tilak Varma scored his maiden T20I half-century, ending on 51 from 41 balls.",Record
Simon Msuva scored an early goal for Tanzania in the 11th minute.,Non Record
KL Rahul's direct hit run out of Litton Das was a turning point.,Non Record
India scored the highest total ever at the Sir Vivian Richards Stadium in Antigua with 196 runs for the loss of 5 wickets.,Record
"Ravi Bishnoi took three wickets, including the pivotal wickets of Litton Das and Najmul Shanto.",Non Record
"Kusal Mendis has scores of 53, 10, 57, and 11 against Bangladesh, striking at 169 across those four innings.",Non Record
The pair of Alex Hales and Jos Buttler put on the highest-ever partnership in T20 World Cups.,Record
Jazz Chisholm hit a solo home run in the bottom of the fifth inning.,Non Record
"The Astros are listed as 1.5-run favourites against the Athletics, with odds of $1.69 currently on offer at PointsBet.",Non Record
"Bangladesh were hoping for a positive result in their crunch match as they suffered a heartbreaking 4-run defeat to South Africa, days after beating Sri Lanka in their opener.",Non Record
"Cole Ragans picked up his 200th strikeout of the season, making him the fifth pitcher in Royals history to post 200 strikeouts in a season. He is the first Royals pitcher since Zack Greinke in 2009 to accomplish the feat.",Record
Chris Jordan took 4 wickets for 10 runs.,Non Record
Paul Hoover discusses the Royals' 4-2 loss,Non Record
This will mark the inaugural encounter between the two teams in T20I cricket.,Non Record
South Africa remained second on the points table and needed to beat Netherlands to advance.,Record
"Chris Sale set a new record for the most strikeouts by a Braves left-hander in a single regular season with 193 strikeouts, surpassing Warren Spahn's 191 strikeouts in 1950 and Tom Glavine's 192 strikeouts in 1991.",Record
Paul DeJong reflected on his game-tying home run and the impact of losing Vinnie Pasquantino to injury.,Non Record
Rahul Tripathi scored 44 runs.,Non Record
Yankees first baseman Anthony Rizzo received a standing ovation during the second inning.,Non Record
Pirates' RHP Paul Skenes has the lowest ERA in the major leagues since debuting on May 11.,Record
The White Sox ended their streak of 20 losses in games started by Chris Flexen.,Record
Uganda defeated Zimbabwe in the qualifiers to secure their World Cup spot.,Record
"All-round options include Hardik Pandya, Axar Patel, and R Ashwin from India, and Wayne Parnell and Aiden Markram from South Africa.",Non Record
"Both teams won their first match in the qualifiers, with Vietnam defeating the Philippines 2-0 and Iraq beating Indonesia 5-1.",Non Record
The Milwaukee Brewers will turn to right-hander Freddy Peralta with a chance to clinch the National League Central when they host the Philadelphia Phillies on Wednesday.,Non Record
Fernando Cruz struck out 5 batters in the first 2 innings.,Non Record
"Second-most overs bowled by spinners in any T20I, and the most in a game involving Full Member teams",Record
Honduras were disappointed and felt unlucky with the outcome,Non Record
"South Africa finished second in Group E with four points, level on points with third-placed Namibia, but with a superior goal difference.",Record
"Ryan Helsley tied the franchise record for most single-season saves with his 48th save of the season, matching Trevor Rosenthal's 2015 performance.",Record
"Brandon Nimmo reflected on the reality of the situation, stating that losing one more game would end their season.",Non Record
"Ruturaj Gaikwad complained of pain in his right wrist, which is affecting his batting. He was unavailable for selection for the first T20I. The BCCI Medical Team is examining him.",Non Record
Fernando Tatis Jr. commented on the need for Dodgers fans to control their emotions.,Non Record
Cody Bellinger stole 2nd base in the 1st inning.,Non Record
"Openers have struggled in the tournament, but both Hales and Buttler smashed half-centuries against New Zealand.",Non Record
The second game is scheduled to be played on Sunday in Indore.,Non Record
"Waqar Younis said that the groundstaff have done well to prepare the pitch, which has a few green spots that will help the pacers.",Non Record
"The Dodgers will have Yoshinobu Yamamoto (6-2, 2.63 ERA) start, up against Antonio Senzatela (0-0, 6.00 ERA) for the Rockies.",Non Record
Ottneil Baartman has 8 wickets at an average of 11.62 and a strike rate of 15 in five T20I innings in 2024. He also has a four-wicket haul this year.,Non Record
"India's confidence primarily stems from the pacers’ effort in three group matches. Lead quick Jasprit Bumrah, Arshdeep Singh, Hardik Pandya and Mohammed Siraj combined to bag 20 wickets among them.",Non Record
The Marlins had their 69th player appear in a game this season and tied a major league record.,Record
India move top of Group 2 and will reach semi-finals if they beat Zimbabwe in final game,Non Record
Best wishes to Team Guyana. A win at all cost is key.,Non Record
The West Indies will enter the T20 World Cup 2024 as one of the top contenders for the title.,Non Record
The White Sox are trying to avoid the post-1900 record of 120 losses by the 1962 expansion New York Mets.,Record
South Africa defended the lowest total in a T20 match.,Record
Shohei Ohtani returned to Anaheim and hit an RBI triple in his first game back at Angel Stadium since signing with the Dodgers.,Non Record
"South Africa were bowled out for their lowest total in T20Is, 87 runs.",Record
Hendricks' 270 starts for the Cubs are tied for the ninth-most in team history.,Record
Jarren Duran went 3-for-5 with two doubles and a home run.,Non Record
The Braves are ahead 7-5 in the season series.,Non Record
England retained the same starting XI that opened the Super 12 stage with a five-wicket win over Afghanistan.,Non Record
"Daryl Mitchell hammered a 26-ball his fastest fifty for New Zealand in T20 international and the joint third fastest half-century by a New Zealand batsman against India in T20Is, jointly with Colin Munro.",Record
"The over/under for total runs scored is set at 8.5 with TAB, which has odds of $1.91 for the over and $1.91 for the under.",Non Record
Lane Thomas slugged his first homer as a Guardian with a two-run blast in the fifth inning.,Record
Ben Stokes could play a key role in holding England's batting together in the possible absence of Dawid Malan.,Non Record
Rahmanullah Gurbaz and Ibrahim Zadran stitched a record partnership of 154 runs for Afghanistan.,Record
Pitch Report,Non Record
New Zealand bowled out teams in consecutive matches in the T20 World Cup for the first time.,Record
"This is only the second official clash between the sides in history, with their last encounter in July 1987 ending in a 1-1 draw.",Non Record
"England have hit a six once every 17 balls in T20Is since 2021, a record bettered only by India",Record
Their last meeting was a draw.,Non Record
